1492999410.46,MOTION,ON
1492999410.67,MOTION,OFF
1492999410.79,MOTION,ON
1493000188.49,MOTION,ON
1493000188.71,MOTION,OFF
1493000188.85,MOTION,ON
1493000786.24,MOTION,ON
1493000786.47,MOTION,OFF
1493000786.6,MOTION,ON
1493000939.3,MOTION,ON
1493000939.56,MOTION,OFF
1493000939.69,MOTION,ON
1493001174.83,MOTION,ON
1493001175.06,MOTION,OFF
1493001175.2,MOTION,ON
1493002288.32,MOTION,ON
1493002288.57,MOTION,OFF
1493002288.73,MOTION,ON
1493003097.09,MOTION,ON
1493003097.33,MOTION,OFF
1493003097.45,MOTION,ON
1493003492.24,MOTION,ON
1493003492.46,MOTION,OFF
1493003492.6,MOTION,ON
1493003566.44,MOTION,ON
1493003566.65,MOTION,OFF
1493003566.78,MOTION,ON
1493004188.21,MOTION,ON
1493004188.44,MOTION,OFF
1493004188.59,MOTION,ON
1493004450.38,MOTION,ON
1493004450.62,MOTION,OFF
1493004450.76,MOTION,ON
1493004806.28,MOTION,ON
1493004806.54,MOTION,OFF
1493004806.68,MOTION,ON
1493005558.92,MOTION,ON
1493005558.92,MOTION,ON
1493005559.44,MOTION,OFF
1493005559.44,MOTION,OFF
1493005559.69,MOTION,ON
1493005559.69,MOTION,ON
1493006004.97,MOTION,ON
1493006005.21,MOTION,OFF
1493006005.34,MOTION,ON
