1492999410.52,DOOR,ON
1492999410.54,DOOR,OFF
1492999410.62,DOOR,ON
1492999410.71,DOOR,OFF
1492999410.76,DOOR,ON
1492999410.84,DOOR,OFF
1492999410.89,DOOR,ON
1493000188.54,DOOR,ON
1493000188.57,DOOR,OFF
1493000188.68,DOOR,ON
1493000188.76,DOOR,OFF
1493000188.81,DOOR,ON
1493000188.88,DOOR,OFF
1493000188.93,DOOR,ON
1493000786.29,DOOR,ON
1493000786.33,DOOR,OFF
1493000786.42,DOOR,ON
1493000786.51,DOOR,OFF
1493000786.55,DOOR,ON
1493000786.64,DOOR,OFF
1493000786.69,DOOR,ON
1493000939.36,DOOR,ON
1493000939.41,DOOR,OFF
1493000939.51,DOOR,ON
1493000939.6,DOOR,OFF
1493000939.65,DOOR,ON
1493000939.74,DOOR,OFF
1493000939.77,DOOR,ON
1493001174.9,DOOR,ON
1493001174.93,DOOR,OFF
1493001175.01,DOOR,ON
1493001175.11,DOOR,OFF
1493001175.15,DOOR,ON
1493001175.25,DOOR,OFF
1493001175.3,DOOR,ON
1493002288.4,DOOR,ON
1493002288.44,DOOR,OFF
1493002288.54,DOOR,ON
1493002288.62,DOOR,OFF
1493002288.66,DOOR,ON
1493002288.78,DOOR,OFF
1493002288.81,DOOR,ON
1493003097.16,DOOR,ON
1493003097.2,DOOR,OFF
1493003097.3,DOOR,ON
1493003097.38,DOOR,OFF
1493003097.41,DOOR,ON
1493003097.49,DOOR,OFF
1493003097.55,DOOR,ON
1493003492.29,DOOR,ON
1493003492.32,DOOR,OFF
1493003492.41,DOOR,ON
1493003492.51,DOOR,OFF
1493003492.56,DOOR,ON
1493003492.64,DOOR,OFF
1493003492.68,DOOR,ON
1493003566.48,DOOR,ON
1493003566.52,DOOR,OFF
1493003566.62,DOOR,ON
1493003566.7,DOOR,OFF
1493003566.75,DOOR,ON
1493003566.82,DOOR,OFF
1493003566.87,DOOR,ON
1493004188.26,DOOR,ON
1493004188.3,DOOR,OFF
1493004188.39,DOOR,ON
1493004188.49,DOOR,OFF
1493004188.54,DOOR,ON
1493004188.64,DOOR,OFF
1493004188.69,DOOR,ON
1493004450.44,DOOR,ON
1493004450.48,DOOR,OFF
1493004450.57,DOOR,ON
1493004450.67,DOOR,OFF
1493004450.71,DOOR,ON
1493004450.81,DOOR,OFF
1493004450.85,DOOR,ON
1493004806.35,DOOR,ON
1493004806.39,DOOR,OFF
1493004806.5,DOOR,ON
1493004806.58,DOOR,OFF
1493004806.63,DOOR,ON
1493004806.72,DOOR,OFF
1493004806.77,DOOR,ON
1493005559.06,DOOR,ON
1493005559.06,DOOR,ON
1493005559.15,DOOR,OFF
1493005559.15,DOOR,OFF
1493005559.33,DOOR,ON
1493005559.33,DOOR,ON
1493005559.51,DOOR,OFF
1493005559.51,DOOR,OFF
1493005559.61,DOOR,ON
1493005559.61,DOOR,ON
1493005559.78,DOOR,OFF
1493005559.78,DOOR,OFF
1493005559.88,DOOR,ON
1493005559.88,DOOR,ON
1493006005.03,DOOR,ON
1493006005.07,DOOR,OFF
1493006005.17,DOOR,ON
1493006005.26,DOOR,OFF
1493006005.29,DOOR,ON
1493006005.39,DOOR,OFF
1493006005.42,DOOR,ON
